G1;G2;G3;COD;NOM;BAR;MRK;MED;FAB;CLS;IVA
MERCADERIAS;ACCESORIOS DE CABELLO;CEPILLOS/PEINILLAS;023275;CEPILLO DE CABELLO RECTANG V/COL 820222 S-050 0509;6300933480509;-;;;01;IVA
MERCADERIAS;ACCESORIOS DE CABELLO;DIADEMAS Y CINTILLOS;010501;DIADEMAS HORA LOCA;010501;-;;;01;IVA
MERCADERIAS;ACCESORIOS DE CABELLO;GORRAS;010463;GORRA VASARI SOY LUNA DGI168495-VD T8;7862125774821;MOZIONI;;;01;IVA
MERCADERIAS;ACCESORIOS DE CABELLO;VINCHAS;029274;VINCHA NG SET X2 UND;029274;-;;;01;IVA
MERCADERIAS;ACCESORIOS DE MODA;LLAVEROS;025593;LLAVERO METAL HOMBRE 14070 1935-21;025593;CREANDO;;;01;IVA
MERCADERIAS;ACCESORIOS DE MODA;LLAVEROS;012104;LLAVERO PORTATARJETA PERRO DEAN RUSO ID HOLDER;012104;TOTTO;;;01;IVA
MERCADERIAS;ACCESORIOS DE MODA;RELOJ;002541;RELOJ HOMBRE CUERO-METAL;002541;-;;;01;IVA
MERCADERIAS;ASEO;GEL ANTIBACTERIAL;013996;GEL ANTIBACTERIAL 500ML CDE1021/0477;013996;ADHEPLAST;;;01;IVA
MERCADERIAS;ASEO;IMPLEMENTOS DE ASEO;023285;MINI ASPIRADORA PILAX2/AA 820972 9729;7865898209729;-;;;01;IVA
MERCADERIAS;ASEO;JABON/ LAVAVAJILLAS;004909;LAVAVAJILLA LIQUIDA LIMPOL 650ML 2998;7861024002998;SIN MARCA;;;01;IVA
MERCADERIAS;ASEO;PAÑITOS HUMEDOS;001459;PAÑITOS HUMEDOS LOV BABY X100 2681;7862110202681;-;;;01;IVA
MERCADERIAS;ASEO;SHAMPOO/ ACONDICIONADORES;025620;SHAMPOO HERBAL ESS MANGO 400ML 285139 7674;025620;HERBAL ESSENCES;;;01;IVA
MERCADERIAS;ASEO;TOALLAS;010712;TOALLA DESECHABLE PARA DISPENSADOR;010712;-;;;01;IVA
MERCADERIAS;BISUTERIA;ARETES;000312;ARETES;000312;ACCESSORIES;;;01;IVA
MERCADERIAS;BISUTERIA;ARETES;029269;ARETES MARCA*;029269;RADU;;;01;IVA
MERCADERIAS;BISUTERIA;ARETES;029270;ARETES TOPO NIÑA;029270;-;;;01;IVA
MERCADERIAS;BISUTERIA;ARETES;029271;ARETES X3PARES;029271;RADU;;;01;IVA
MERCADERIAS;BISUTERIA;COLLARES;002513;COLLAR;002513;-;;;01;IVA
MERCADERIAS;BISUTERIA;COLLARES;000264;COLLAR ELEGANTE V/MODELOS;000264;-;;;01;IVA
MERCADERIAS;BISUTERIA;COLLARES;029272;COLLAR JUEGO DOBLE STAINLESS STEEL*;029272;STAINLESS STEEL;;;01;IVA
MERCADERIAS;BISUTERIA;COLLARES;000239;COLLAR JUEGO MARCA*;000239;RADU;;;01;IVA
MERCADERIAS;BISUTERIA;COLLARES;029273;COLLAR Y MANILLA NIÑO/A;029273;-;;;01;IVA
MERCADERIAS;BOLSOS;BILLETERAS;012153;BILLETERA PRADA V/COL*;012153;-;;;01;IVA
MERCADERIAS;BOLSOS;BOLSOS DE TELA/ PLASTICO;005407;BOLSO BLANCO D/TABLERO A3*;005407;ACRILEX;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;026990;CARTUCHERA 1S  PLASTICA V/C;026990;SIN MARCA;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;016637;CARTUCHERA 2S TEXAS HEAD;016637;HEAD;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;006173;CARTUCHERA 3S MIRROR LONDON 0894;7862126050894;-;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;012162;CARTUCHERA LOF FLAMINGO PCH;012162;-;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;006171;CARTUCHERA MOZIONI 3S NG/GATO MPT170513-NG 8361;7861208808361;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;006180;CARTUCHERA MOZIONI 3S RS/BL MPT172087-RS 9120;7861208829120;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;006148;CARTUCHERA MOZIONI 3S RS/HEART/BREAK  MPT170533-RS 8507;7861208808507;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;006174;CARTUCHERA MOZIONI 3S RS/NG MPT172046-RS/9861;7861208829861;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;CARTUCHERAS;003581;CARTUCHERA NYLON 8001/Y672140/Y672154-88025/8012;7450039129433;-;;;01;IVA
MERCADERIAS;BOLSOS;LONCHERAS;022352;LONCHERA MOZIONI TORNASOL MHF172051-RS/8857;7861208828857;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012166;MOCHILA EPIC FUTBOL 10XB BB2008B 0219;7862110160219;EPIC;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;021453;MOCHILA EPIC ZORRITO BG2101 3685;7862110163685;EPIC;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012139;MOCHILA EVEREST 1045RN;742065007777;EVEREST;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012133;MOCHILA EVEREST 2045P;742065009016;-;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012146;MOCHILA EVEREST P1045GL;742065010975;EVEREST;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012152;MOCHILA MINI METALLIC/TORNASOL B323428;684357503140;-;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;021452;MOCHILA MOZIONI BL/RS TORNASOL MME171770-BL/9243;7861208829243;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;004701;MOCHILA MOZIONI TIGRE CF/NG MME170976-ST 7073;7861208817073;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;006140;MOCHILA NIÑO TOY STORY AZ 6556 EME172167-AZ;7861208826556;MOZIONI;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;003717;MOCHILA SHOPPIES 7016HPS-0694/8369;7453074538369;-;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;026991;MOCHILA TORNASOL V/C DISEÑOS JN2137;026991;-;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;003734;MOCHILA TOTTO INFANTIL SWEETY HEART M MJ04SWH002-2420-9JEM 3399;7704758953399;TOTTO;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;001281;MOCHILA TOTTO PC KNITTY L GR MA04KNY001-23200-G86 9114;7704758819114;TOTTO;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;012149;MOCHILA UNICORNIO B324163;012149;-;;;01;IVA
MERCADERIAS;BOLSOS;MOCHILAS;010416;MOCHILA VASARI NG/AZ VME171810-AZ/7997;7861208827997;VASARI;;;01;IVA
MERCADERIAS;BOLSOS;MONEDEROS;026923;MONEDERO HELLO KITTY*;026923;SIN MARCA;;;01;IVA
MERCADERIAS;COMIDA;BEBIDAS;027255;BEBIDA CHAIGOLD MARACUYA 060570612;7868001070612;MUNAY;;;01;IVA
MERCADERIAS;COMIDA;CARAMELOS/GOMITAS;005424;BUBBALOO SPARKIES 25 GR 9500;7702133879500;ADAMS;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026996;CHOCO TRENTO AVELLANA 32GR 2831;7896306612831;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026992;CHOCO TRENTO BLANCO/ALLEGRO  35GR 2366;7896306622366;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026995;CHOCO TRENTO BLANCO/DARK 35GR 6389;7896306616389;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026997;CHOCO TRENTO CHOCOLATE 32GR 2817;7896306612817;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026993;CHOCO TRENTO CHOCOLATE ALLEGRO 35GR 1130;7896306621130;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026998;CHOCO TRENTO MINI/BL/DARK 16GR 1185;7896306621185;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;026994;CHOCO TRENTO TORTA/LIMON 35GR 8291;7896306618291;TRENTO;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;010552;CHOCOLATE FERRERO ROCHER CUBO 75GR;7898024397120;FERRERO ROCHER;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;002918;CHOCOLATE HUEVO KINDER JOY 20GR T1X12/6 20GR 360/4482 2731;78602731;KINDER JOY;;;01;IVA
MERCADERIAS;COMIDA;CHOCOLATES;002919;CHOCOLATE NOGGY VASO 150GR 36X24 1695;7861002901695;NOGGY;;;01;IVA
