COD;NOM;IVA;STK;PVP;PRECIO POR MAYOR
027872;ACCESORIOS P/BAÑO ALL PURE X17PCS 31756 7564;15;11;9,0625;9,0179
025601;ACEITE P/CABELLO V/COLORES 125ML 2011880 IBETH PATRICIA RUB*;15;0;6,04;5,6339
013166;ACRILICA FRANCO COBRE 035 60ML 1348;15;0;2,1;2,0625
003671;ACRILICA LANCER DORADA 60ML SH.PA.215;15;0;0,87;0,696
010564;ACUARELA LANCER X12COL AC.C.312 2692 # RDP;15;180;0,7826;0,62
016880;ACUARELA PELIKAN X6COL PASTEL AC.P.1223 5419;15;0;1;0,895
013205;ADORNO COLG NAV SUETER XO3184/3236;15;0;2;1,9107
012749;ADORNO NAV COLGAN FAROL 4437;15;1;3,35;2,9911
012747;ADORNO NAV LUNA COLGANTE V/COL 4406/4420/4383/4413;15;1;4,2768;4,2768
002307;AGENDA 2024 AZ MILAN 15X21 C/DR 0612;15;0;0,8261;2,2
029308;AGENDA C/LIGA ANILLADA A5-2023 GDE V/COL  2053;15;0;3,3;2,99
029307;AGENDA C/LIGA ANILLADA A6-2023 PEQ V/COL 2060;15;0;2,5;2,2425
029391;AGENDA FLORES A5/10108.2 FRASES F/DR B80*;15;0;5,7;5,1
029319;AGENDA NG/AZ/CF/GR 2023-12 17.5*9CM 8444;15;0;2,2;2,0288
000602;ALFILER CAJA CHRYSANTHEMUM/ALLWIN #2 (E2101) NO.9002 000;15;574;0,4783;0,37
017381;ANCHETA AURORA CAJA BASE ABA-04*;0;22;2,15;1,885
012708;ANCHETA PANCARTA PEQUEÑA APP;15;1;1,5652;1,4286
029342;ANGEL DR C/LUZ Y VESTIDO SX-L2107/6774;15;6;4,5217;4,1643
000312;ARETES;15;0;6;5,7
029269;ARETES MARCA*;15;2;3,9565;3,683
029270;ARETES TOPO NIÑA;15;2;3,1304;2,9464
029271;ARETES X3PARES;15;0;6,2609;5,8928
004534;ARREGLO CUMPLEAÑOS PEQUEÑO;15;0;8,9;8,8839
006221;ASTROSILVER ORION 71X101 220GR;15;0;3;2,7321
027911;AUDIFONO EARBUDS LISTEN UP TWS06WHITE 3315;15;4;14,2609;13,3482
015107;AUDIFONO LENOVO HT38-BT AUF-LNV-HT30 3121;15;6;13,7391;12,272
026877;AUDIFONO XTRATECH BL/NG XT-L31-BLK COMPATIBLE/HSP/HFP/A2DP/AVRCP 7073;15;0;17,7;16,3571
026876;AUDIFONO XTRATECH BL/NG XT-L31-WHT COMPATIBLE/ANDROID 7066;15;0;17,7;16,3571
013201;BANDEJA NAV FLOMO X03056/9872;15;0;1,74;1,7321
026988;BANDERIN MAMA PINK CA-BN-019;15;0;1,91;1,8036
026927;BANDERITAS FENIX SEPARADOR X5COL 12X45MM M-SEÑA-5COLFX SN5040 0931;15;0;0,48;0,36
017408;BARNIZ SPRAY BRILLANTE (NO OLEO) 7012;15;0;9,48;8,4816
017409;BARNIZ SPRAY BRILLANTE (OLEO) 6992;15;0;9,61;8,4816
017410;BARNIZ SPRAY MATE (NO OLEO) 10OZ. 7005;15;0;9,48;8,5002
027261;BASE  P/GLOBOS ESTR 2103A-18;15;5;4,65;4,3571
027259;BASE BALLON P/GLOBOS 19 ESPACIOS BL.SG.100 2423;15;0;2,13;1,88
014087;BASE D/CORTE A3 ST216/7479;15;2;12,609;11,45
013811;BASE MOSTRADOR 441-763593 METALICA;15;1;6,26;6,0446
010026;BASTON RJ/BL;15;0;0;0,6964
027880;BASURERO AVERGERS METAL MINI 54867 8678;15;0;6,1;6,0714
027879;BASURERO FROZEN METAL 49886 8867;15;2;6,13;6,0714
027881;BASURERO METAL ANIMADO VD 49889 8898;15;0;6,1;6,0714
027877;BASURERO METAL AVENGERS 43130 1307;15;2;6,13;6,0714
027878;BASURERO METAL CORONA EXTRA 39830 8303;15;1;6,13;6,0714
025527;BATIDORA DE MANO 5VELTURBO MXWH-318 BLANCA 7451;15;0;25,3;23,5
027255;BEBIDA CHAIGOLD MARACUYA 060570612;15;0;1,2;1,1607
012153;BILLETERA PRADA V/COL*;15;1;11,7392;10,8
018298;BLOCK DE PAPEL 733082 0823;15;0;7,9;7,9375
010593;BLOCK NOTAS MR 300H V/MOD P/DURA 9.5X9.5CM 5940;15;49;3,26;2,91
004879;BOLA 10 ESPUMAFLEX;15;44;0,4348;0,29
004880;BOLA 12 ESPUMAFLEX;15;987;0,4783;0,43
004881;BOLA 17 ESPUMAFLEX;15;34;2,2174;1,995
004875;BOLA 5 ESPUMAFLEX;15;193;0,1305;0,089
004876;BOLA 6 ESPUMAFLEX;15;896;0,174;0,118
004877;BOLA 7 ESPUMAFLEX;15;543;0,2174;0,167
004878;BOLA 8 ESPUMAFLEX;15;55;0,3044;0,228
016996;BOLIG AZUL CACTUS 0.5 IC 1034-8*;15;4;0,87;0,7411
016872;BOLIG BIC AZUL MEDIO 971186/995305 # RDP;15;4590;0,2609;0,2508
027263;BOLIG BIC ROJO C/AMARILLO FINO 500227;15;998;0,17;0,1272
018290;BOLIG BIC ROJO FINO 971194/995711 # RDP;15;6367;0,3044;0,289
018286;BOLIG BIC VERDE OSC MEDIO 995708/500204 # RDP;15;789;0,2609;0,2508
001424;BOLIG BORRABLE JEFF AZUL JF.BO.402 7866;15;1;0,4348;0,339
